,accelerometer_raw,time,iss_height,iss_coordinates
0,"{'x': 0.01791326717402527, 'y': 0.03313794947756234, 'z': 0.0129319997504353}",1735914170.740185,414539.9067644925,"-40.0301660926201, -72.82992378545022"
1,"{'x': 0.017792925949569115, 'y': 0.03304769390371765, 'z': 0.0129319997504353}",1735914171.74259,414537.07311208977,"-40.06817969996675, -72.76609078714144"
2,"{'x': 0.017672309958979816, 'y': 0.03295723225605968, 'z': 0.0129319997504353}",1735914172.741059,414534.24321239366,"-40.106031014133166, -72.70238807698355"
3,"{'x': 0.017551883535500235, 'y': 0.03286691278319133, 'z': 0.0129319997504353}",1735914173.7382998,414531.4155249168,"-40.14377052789065, -72.63873150474727"
4,"{'x': 0.017431057144358643, 'y': 0.03277629333572145, 'z': 0.0129319997504353}",1735914174.743628,414528.56094613596,"-40.18178806398088, -72.57446187534852"
5,"{'x': 0.0173240005970001, 'y': 0.03350545759920855, 'z': 0.01394382407188615}",1735914175.748357,414525.70662240265,"-40.21971735467711, -72.51019656081996"
6,"{'x': 0.0187190251393601, 'y': 0.033207566375312414, 'z': 0.013012757313179482}",1735914176.7545621,414522.8460225301,"-40.25762561392557, -72.44582156429524"
7,"{'x': 0.017529857502554567, 'y': 0.0335837733880875, 'z': 0.013508224177218786}",1735914177.749156,414520.006882355,"-40.295176193444256, -72.38191001421316"
8,"{'x': 0.018942821225068067, 'y': 0.03300729620243966, 'z': 0.012866357585279193}",1735914178.752606,414517.144663268,"-40.33293096760579, -72.31750573807535"
9,"{'x': 0.018235951440588868, 'y': 0.03306809808185535, 'z': 0.012232024211115683}",1735914179.753024,414514.2854624848,"-40.370567042280115, -72.25315831350443"
10,"{'x': 0.019230362640958926, 'y': 0.0330024911977174, 'z': 0.013584654593582317}",1735914180.757478,414511.40933589445,"-40.40832621439037, -72.18845355763204"
11,"{'x': 0.018131931337336944, 'y': 0.03262006925606123, 'z': 0.012780136378863834}",1735914181.757727,414508.5440161231,"-40.44586464787129, -72.12398049295932"
12,"{'x': 0.018252916895552314, 'y': 0.03204100049604471, 'z': 0.013137498723618642}",1735914182.76728,414505.6510069391,"-40.483688207467154, -72.0588691449145"
13,"{'x': 0.01943044140986831, 'y': 0.03296467587196114, 'z': 0.0141519997268915}",1735914183.773546,414502.76262374443,"-40.52137116914604, -71.99385075678572"
14,"{'x': 0.019020526343626883, 'y': 0.03151615499495484, 'z': 0.012297522743716122}",1735914184.7743092,414499.88730880595,"-40.55879261361993, -71.92913557903603"
15,"{'x': 0.01775453548975847, 'y': 0.03320190116522472, 'z': 0.014094535560389972}",1735914185.7822359,414496.9903595728,"-40.5964247914767, -71.86390644940614"
16,"{'x': 0.02020417350795954, 'y': 0.033628933114402154, 'z': 0.014333781186899801}",1735914186.784769,414494.1022295878,"-40.63385698410016, -71.79887444376716"
17,"{'x': 0.018949447424221853, 'y': 0.03318034368864543, 'z': 0.013994207309918055}",1735914187.7898722,414491.2082661375,"-40.67127447888911, -71.73371816573648"
18,"{'x': 0.018715829392668103, 'y': 0.03311182866624348, 'z': 0.013853701735523248}",1735914188.790803,414488.32169874996,"-40.70853355500379, -71.66868814419772"
19,"{'x': 0.0185439996421337, 'y': 0.03255021980497786, 'z': 0.012249110258395183}",1735914189.793727,414485.4174761318,"-40.74589879112297, -71.60332212990662"
20,"{'x': 0.01890572314820062, 'y': 0.03257542550239539, 'z': 0.013919404923839253}",1735914190.79351,414482.5262186345,"-40.78304782707393, -71.5381839370317"
21,"{'x': 0.018665897269886107, 'y': 0.03335486007025489, 'z': 0.012858861117951348}",1735914191.79231,414479.6365968722,"-40.820080397712786, -71.47309992369053"
22,"{'x': 0.019347859257248214, 'y': 0.0339160002768039, 'z': 0.0124439997598528}",1735914192.796486,414476.72590136185,"-40.85731187214634, -71.40751454274454"
23,"{'x': 0.01845658720076225, 'y': 0.032025941236837246, 'z': 0.012593355750733098}",1735914193.803872,414473.8065760738,"-40.894626506997284, -71.34162915194074"
24,"{'x': 0.01737246085883725, 'y': 0.032825228760985384, 'z': 0.014248920373877809}",1735914194.80052,414470.91453930875,"-40.931437954495046, -71.2764808376568"
25,"{'x': 0.017853863553055748, 'y': 0.032270793906545796, 'z': 0.013134136780253353}",1735914195.80544,414467.9915914558,"-40.9685863907239, -71.21058289160129"
26,"{'x': 0.019081486538885493, 'y': 0.032452382190202474, 'z': 0.01224834194952799}",1735914196.807583,414465.0798755658,"-41.00553236369545, -71.14489061536689"
27,"{'x': 0.01827716090329554, 'y': 0.033229674984056295, 'z': 0.013369117692138529}",1735914197.808185,414462.1659332016,"-41.0424343356761, -71.07912297811777"
28,"{'x': 0.01944871887548076, 'y': 0.033671997487545, 'z': 0.013705123820578017}",1735914198.809917,414459.2458150337,"-41.079314615149826, -71.01323981886945"
29,"{'x': 0.019000792068417063, 'y': 0.03303173599241405, 'z': 0.013511735787939762}",1735914199.812416,414456.3237114469,"-41.116169756883906, -70.94724676856116"
30,"{'x': 0.01752972624560198, 'y': 0.03290459537188527, 'z': 0.013134854584596772}",1735914200.816258,414453.3933752658,"-41.153032703513304, -70.88108412537876"
31,"{'x': 0.018800323252578, 'y': 0.03254467078636909, 'z': 0.013466334981674025}",1735914201.815655,414450.47581698676,"-41.18968442166186, -70.81514548039783"
32,"{'x': 0.019220401293477546, 'y': 0.03361639843390925, 'z': 0.014026901378723703}",1735914202.818142,414447.5433982538,"-41.22643639245632, -70.74887033586407"
33,"{'x': 0.017903064661446547, 'y': 0.033016467498822866, 'z': 0.012611532260091722}",1735914203.8162298,414444.62487247837,"-41.262956719874715, -70.68285721208433"
34,"{'x': 0.01719561933193158, 'y': 0.0320539265326578, 'z': 0.01162215926203598}",1735914204.8267379,414441.66737404367,"-41.2998734564709, -70.6159689559084"
35,"{'x': 0.017667561254930964, 'y': 0.03250668568040011, 'z': 0.011983342732594604}",1735914205.822367,414438.7495630222,"-41.336245938277166, -70.54991003960755"
36,"{'x': 0.019016736702692556, 'y': 0.03189542086280173, 'z': 0.012123685405727846}",1735914206.824067,414435.8125275268,"-41.372767547846294, -70.48342286618467"
37,"{'x': 0.01904073443490267, 'y': 0.032443263706904236, 'z': 0.013472408354099012}",1735914207.8273962,414432.8694515645,"-41.40930794643194, -70.41674278026527"
38,"{'x': 0.01812934561910313, 'y': 0.0341599993407726, 'z': 0.013957382486705312}",1735914208.8325849,414429.92071681924,"-41.44585564411686, -70.34988972095587"
39,"{'x': 0.017562911845338557, 'y': 0.032892218191875315, 'z': 0.012401306038281944}",1735914209.834712,414426.9734245797,"-41.48228841638087, -70.2830871052141"
40,"{'x': 0.0187879987061023, 'y': 0.0327511182890734, 'z': 0.0131759997457265}",1735914210.8350332,414424.03221879725,"-41.51858951582166, -70.2163664001615"
41,"{'x': 0.01855244836088734, 'y': 0.033962215507652264, 'z': 0.010706678996858107}",1735914211.8438709,414421.06552194053,"-41.555154756680736, -70.14899835676916"
42,"{'x': 0.01861935818950321, 'y': 0.03282732910411559, 'z': 0.013626686232043477}",1735914212.842867,414418.1228476171,"-41.59133374090968, -70.08218121146732"
43,"{'x': 0.0192760005593299, 'y': 0.03317719691630833, 'z': 0.013162394807199133}",1735914213.847081,414415.16524637653,"-41.627640517579046, -70.0149664367408"
44,"{'x': 0.017727644783967024, 'y': 0.0319383771096369, 'z': 0.012561466049720806}",1735914214.853355,414412.2032832335,"-41.663964381042305, -69.94755712851777"
45,"{'x': 0.01813595978810483, 'y': 0.03179995786523534, 'z': 0.01200518731436453}",1735914215.851687,414409.2590223889,"-41.69996140928234, -69.88059273016165"
46,"{'x': 0.018405588065887823, 'y': 0.032069586829114594, 'z': 0.012993825590745333}",1735914216.855357,414406.2962397063,"-41.73614476941721, -69.81311866654605"
47,"{'x': 0.01867551665122486, 'y': 0.03233951610131206, 'z': 0.01398356499622526}",1735914217.8630311,414403.3209602978,"-41.77239919159944, -69.74534724707189"
48,"{'x': 0.017799544444621247, 'y': 0.0334279984235763, 'z': 0.012303476256079948}",1735914218.868025,414400.3549758148,"-41.80849706800641, -69.67770362278385"
49,"{'x': 0.0193159216808703, 'y': 0.0324519984424114, 'z': 0.011871687985430951}",1735914219.865317,414397.4067296344,"-41.84427724021466, -69.61049212858937"
50,"{'x': 0.018602504327549906, 'y': 0.0336004152099071, 'z': 0.012457077625297613}",1735914220.8716831,414394.43182311876,"-41.880358761629076, -69.54254910226102"
51,"{'x': 0.018542359262223935, 'y': 0.03367528197265471, 'z': 0.013423282363482331}",1735914221.871914,414391.4715926502,"-41.916183006753634, -69.4749252472003"
52,"{'x': 0.017937949165450082, 'y': 0.033058049880570754, 'z': 0.012042674521932929}",1735914222.870812,414388.5176862392,"-41.95188559178273, -69.40736627468112"
53,"{'x': 0.019068924958448134, 'y': 0.031172626116331772, 'z': 0.012540299015974286}",1735914223.870304,414385.55822989176,"-41.987565194743766, -69.33968554902711"
54,"{'x': 0.01866447790234893, 'y': 0.0322079993784427, 'z': 0.012235448437419957}",1735914224.873448,414382.5848544785,"-42.0233631541054, -69.2716133790641"
55,"{'x': 0.01781959428616105, 'y': 0.03269220342206712, 'z': 0.011982584132083432}",1735914225.8780758,414379.6093004567,"-42.05913276345274, -69.20342717506807"
56,"{'x': 0.019604563474149822, 'y': 0.0323142900614529, 'z': 0.013006870587077944}",1735914226.8811579,414376.635770382,"-42.094816828857304, -69.13523582856882"
57,"{'x': 0.0185439996421337, 'y': 0.033711261752548426, 'z': 0.012821819602383419}",1735914227.886998,414373.6623754041,"-42.13050333724284, -69.06687084344262"
58,"{'x': 0.017234487364774082, 'y': 0.032374754496940265, 'z': 0.014100503828762236}",1735914228.890203,414370.6776945154,"-42.166144765372835, -68.99842261489175"
59,"{'x': 0.01908647267450735, 'y': 0.034756382517516234, 'z': 0.012742472796935252}",1735914229.891937,414367.7045836259,"-42.2016466675966, -68.93007288963332"
60,"{'x': 0.018737759194354255, 'y': 0.03273330945052897, 'z': 0.01112351770296236}",1735914230.894699,414364.72905451717,"-42.23711511186705, -68.86161774638468"
61,"{'x': 0.019296284263683284, 'y': 0.03180113296199728, 'z': 0.013501729482113282}",1735914231.89889,414361.748925868,"-42.27260387266027, -68.7929525334861"
62,"{'x': 0.017939437799228776, 'y': 0.03276515587696245, 'z': 0.01325798298964512}",1735914232.90418,414358.7661131215,"-42.30806055426753, -68.72417774647094"
63,"{'x': 0.018906554795867097, 'y': 0.0326960012316703, 'z': 0.014789154913355904}",1735914233.899429,414355.80298119393,"-42.34319751663617, -68.65585290381439"
64,"{'x': 0.017996133122523086, 'y': 0.0324519984424114, 'z': 0.014091226282156281}",1735914234.904097,414352.8199900631,"-42.378541553748924, -68.58695348768015"
65,"{'x': 0.01864585398801351, 'y': 0.032973951614676464, 'z': 0.0141859511755181}",1735914235.908772,414349.83274621906,"-42.41387113193753, -68.5179089673287"
66,"{'x': 0.017877624054691354, 'y': 0.03340175052684889, 'z': 0.013921124611286532}",1735914236.9135401,414346.8467328279,"-42.44913991097121, -68.4488094709278"
67,"{'x': 0.0178119987249374, 'y': 0.03214946844443589, 'z': 0.014221550275627175}",1735914237.922625,414343.84768344805,"-42.48451745718729, -68.37932142404199"
68,"{'x': 0.01923693995801944, 'y': 0.033105878753345475, 'z': 0.013595516113833939}",1735914238.924206,414340.8679925969,"-42.519588248528166, -68.31026146216972"
69,"{'x': 0.019245517448550426, 'y': 0.03286882787146674, 'z': 0.012728690543176905}",1735914239.927335,414337.88597325946,"-42.55464842883867, -68.24104779678066"
70,"{'x': 0.018801729568557857, 'y': 0.03357236081211702, 'z': 0.012299639233957282}",1735914240.920073,414334.92726666346,"-42.58935798511827, -68.17235336400299"
71,"{'x': 0.018741293917966712, 'y': 0.033272257758068496, 'z': 0.013591363319210717}",1735914241.9302971,414331.92474355234,"-42.62456729458582, -68.10249303292713"
72,"{'x': 0.01873828287238926, 'y': 0.03337828258986326, 'z': 0.0143959997221827}",1735914242.9278579,414328.95723460685,"-42.65930453405815, -68.03339382651079"
73,"{'x': 0.01815511677834684, 'y': 0.03240244006817346, 'z': 0.01436742761878589}",1735914243.9339578,414325.96166741475,"-42.69430135182142, -67.9636009408727"
74,"{'x': 0.019245837729414805, 'y': 0.0331839993596077, 'z': 0.01223016133992182}",1735914244.934549,414322.9844169274,"-42.72905094030556, -67.89412396994658"
75,"{'x': 0.01779460472750238, 'y': 0.033649337067384426, 'z': 0.012358623311135165}",1735914245.933146,414320.0110840405,"-42.76369285574801, -67.82468557754521"
76,"{'x': 0.018943980989533555, 'y': 0.032685971272192436, 'z': 0.012111981457335776}",1735914246.941195,414317.01267761324,"-42.798592250961256, -67.75455164158079"
77,"{'x': 0.018343461085205615, 'y': 0.0319640003144741, 'z': 0.012286922641287928}",1735914247.945706,414314.0243997022,"-42.833318642843, -67.68458556665979"
78,"{'x': 0.01761360894722069, 'y': 0.032940000295639, 'z': 0.01342265913740118}",1735914248.944546,414311.0492755086,"-42.86783385214118, -67.61486621027856"
79,"{'x': 0.019538698966131942, 'y': 0.03271469988654666, 'z': 0.011693299671812507}",1735914249.951026,414308.0528392833,"-42.902562085246394, -67.54453562274556"
80,"{'x': 0.01967940038591598, 'y': 0.03270579463808189, 'z': 0.0146399997174739}",1735914250.957184,414305.05725547543,"-42.9372154269182, -67.47417473736432"
81,"{'x': 0.017939096729201198, 'y': 0.03383528922901431, 'z': 0.013454322546900868}",1735914251.962267,414302.0689715622,"-42.97174699539026, -67.40387922284978"
82,"{'x': 0.01777374829909865, 'y': 0.03384741536026658, 'z': 0.014335337041039828}",1735914252.961926,414299.09306430246,"-43.00611676370506, -67.33373173253045"
83,"{'x': 0.019046125853072318, 'y': 0.03310737484748035, 'z': 0.012611374950547845}",1735914253.967081,414296.1020576998,"-43.04057961129011, -67.26321153576845"
84,"{'x': 0.019459367257693483, 'y': 0.03342946802512454, 'z': 0.012413683577050246}",1735914254.966433,414293.1251379835,"-43.07481732717475, -67.19296975308009"
85,"{'x': 0.017297257798007233, 'y': 0.03326899460654404, 'z': 0.014221239764796022}",1735914255.973035,414290.1337563865,"-43.10920624165718, -67.12223381260551"
86,"{'x': 0.018257326944655945, 'y': 0.03309599692916761, 'z': 0.014149343209740348}",1735914256.974147,414287.151991531,"-43.143433574265124, -67.05164607905536"
87,"{'x': 0.019417730873740945, 'y': 0.03346477603372939, 'z': 0.013910686339897513}",1735914257.978784,414284.16459020844,"-43.17768896113693, -66.98081544036229"
88,"{'x': 0.018461040558824846, 'y': 0.033625643326899844, 'z': 0.013424876995653043}",1735914258.98115,414281.18238396035,"-43.21182968640827, -66.9100365930014"
89,"{'x': 0.018501322397521423, 'y': 0.03305689641855954, 'z': 0.0124439997598528}",1735914259.98251,414278.20531445247,"-43.24587114371011, -66.8392782592974"
90,"{'x': 0.018515454480588677, 'y': 0.03259472468595379, 'z': 0.014066363915393471}",1735914260.98365,414275.2283227502,"-43.27986110918212, -66.76844125476028"
91,"{'x': 0.01812250783786347, 'y': 0.03336149049111886, 'z': 0.014861966962807336}",1735914261.986719,414272.24989372736,"-43.313846878428, -66.69742635397678"
92,"{'x': 0.018706078039017176, 'y': 0.033756569701822794, 'z': 0.014561607718930121}",1735914262.9931571,414269.25770370016,"-43.34793308113321, -66.6260130034654"
93,"{'x': 0.0190319996327161, 'y': 0.03225778126986342, 'z': 0.01267140581244964}",1735914264.000417,414266.2647550434,"-43.38198824630254, -66.55447492648683"
94,"{'x': 0.01838182623786186, 'y': 0.03212395343027234, 'z': 0.013745826327328394}",1735914265.001368,414263.29319381935,"-43.4157745482073, -66.4833130740095"
95,"{'x': 0.018809459692749362, 'y': 0.03238761581012636, 'z': 0.0129319997504353}",1735914266.0016158,414260.320777517,"-43.449492027221844, -66.4121077987185"
96,"{'x': 0.018922443603880082, 'y': 0.03273088833470267, 'z': 0.013639110962365097}",1735914267.003648,414257.3469382421,"-43.48322089689747, -66.34068904144435"
97,"{'x': 0.019028490533093745, 'y': 0.03365445206979613, 'z': 0.014378454291040016}",1735914268.0088818,414254.3646257881,"-43.51699717093558, -66.26897889239982"
98,"{'x': 0.019970637471528597, 'y': 0.03304624087118255, 'z': 0.013807602191299138}",1735914269.0085251,414251.39693917695,"-43.55053851622524, -66.19757720278588"
99,"{'x': 0.01971932966906525, 'y': 0.03222586706756214, 'z': 0.014360264480341521}",1735914270.011347,414248.42161482945,"-43.584148869649496, -66.12583720836939"
100,"{'x': 0.01890112290744948, 'y': 0.03256512350732186, 'z': 0.0131759997457265}",1735914271.014733,414245.4473831923,"-43.61771248477428, -66.05400460228277"
101,"{'x': 0.017906759475875004, 'y': 0.033661930092371534, 'z': 0.011706964841034907}",1735914272.015624,414242.48012660496,"-43.6511516600438, -65.98224597437923"
102,"{'x': 0.01830442226392071, 'y': 0.032694895797573544, 'z': 0.013168261795654009}",1735914273.020662,414239.50593414786,"-43.684650782960716, -65.91016500829345"
103,"{'x': 0.01877853345270232, 'y': 0.03240698682870292, 'z': 0.01338445317276469}",1735914274.025389,414236.5302789888,"-43.71811765725054, -65.83795864756577"
104,"{'x': 0.018771409310813933, 'y': 0.03246858809098071, 'z': 0.014085641892457078}",1735914275.033535,414233.54889023764,"-43.751619926335096, -65.76547970928262"
105,"{'x': 0.018679198152458082, 'y': 0.03265093460286175, 'z': 0.012387991465537776}",1735914276.0369651,414230.58075276477,"-43.78493736581647, -65.69320472624936"
106,"{'x': 0.01895556092271749, 'y': 0.032558812741800565, 'z': 0.013769803558757338}",1735914277.034881,414227.62795037817,"-43.81801953481096, -65.62124560881165"
107,"{'x': 0.019232060568258758, 'y': 0.03246664525518103, 'z': 0.015152300027515457}",1735914278.046634,414224.64810059173,"-43.851440394500386, -65.54835175466691"
108,"{'x': 0.01881275943398577, 'y': 0.03334111140245646, 'z': 0.012022177036806447}",1735914279.043062,414221.69387564017,"-43.88444113860855, -65.4761776889726"
109,"{'x': 0.0180559996515512, 'y': 0.0327911796810184, 'z': 0.012454727456038593}",1735914280.042811,414218.74174362404,"-43.91742439546826, -65.40384552319749"
110,"{'x': 0.018291531751518274, 'y': 0.031741169559507405, 'z': 0.012002578138042605}",1735914281.046261,414215.7788451651,"-43.95049265866293, -65.3311286506003"
111,"{'x': 0.019426285754329756, 'y': 0.033277713610992236, 'z': 0.013733521619001982}",1735914282.046207,414212.830234462,"-43.983377224666235, -65.25861759704193"
112,"{'x': 0.01938841480076692, 'y': 0.0323421940314844, 'z': 0.01208758509404952}",1735914283.046599,414209.88003193605,"-44.016242403191804, -65.18595064574856"
113,"{'x': 0.019241282785141426, 'y': 0.03319557189210876, 'z': 0.013652427159636616}",1735914284.056042,414206.90985946456,"-44.04931358261974, -65.11262648517679"
114,"{'x': 0.018419871053910863, 'y': 0.03360567904313978, 'z': 0.014458064016294105}",1735914285.057472,414203.95953482355,"-44.0821086658048, -65.03971337459788"
115,"{'x': 0.0167751741905847, 'y': 0.032940000295639, 'z': 0.013999354301240746}",1735914286.062073,414201.00528451795,"-44.11493430060719, -64.96653052432853"
116,"{'x': 0.01725103131486198, 'y': 0.0331965467831376, 'z': 0.012906904807590689}",1735914287.0640378,414198.05909915135,"-44.14762669355867, -64.89344276979973"
117,"{'x': 0.017611884766499733, 'y': 0.03342068426723861, 'z': 0.013649371367798655}",1735914288.068326,414195.1075360187,"-44.18034363313927, -64.82009707320512"
118,"{'x': 0.01848482258725401, 'y': 0.033723885504962844, 'z': 0.014403290594461122}",1735914289.078799,414192.1453991078,"-44.21316529029104, -64.74631119058712"
119,"{'x': 0.018118422137902282, 'y': 0.0334279984235763, 'z': 0.012903634879300137}",1735914290.079991,414189.2044191373,"-44.24571197873152, -64.67293897683538"
120,"{'x': 0.01942218444057915, 'y': 0.03299868922606236, 'z': 0.012805378064011596}",1735914291.0823722,414186.26622077334,"-44.27821410048176, -64.59946271720523"
121,"{'x': 0.01931667353355058, 'y': 0.03305691572525133, 'z': 0.01358775683466156}",1735914292.084278,414183.32788440434,"-44.310658368665436, -64.52591210089999"
122,"{'x': 0.0190319996327161, 'y': 0.033318366627656144, 'z': 0.012871838669143007}",1735914293.0887392,414180.38618341106,"-44.34312256592548, -64.45210982904861"
123,"{'x': 0.01875033999183129, 'y': 0.033659444614730125, 'z': 0.014564682193105498}",1735914294.084217,414177.4740841027,"-44.375228373822026, -64.37891785336656"
124,"{'x': 0.01815953260757054, 'y': 0.03394263819806091, 'z': 0.013857745462902202}",1735914295.08898,414174.53854226606,"-44.40757294023035, -64.30497465904634"
125,"{'x': 0.01919066280240418, 'y': 0.03298888322106944, 'z': 0.011492442172725692}",1735914296.091546,414171.6077406603,"-44.439830989752664, -64.23102105536044"
126,"{'x': 0.018262816503042054, 'y': 0.032470590621900074, 'z': 0.012255775664355218}",1735914297.0872161,414168.7012760552,"-44.4717998965901, -64.15752386239782"
127,"{'x': 0.017472145299993445, 'y': 0.03359359883286199, 'z': 0.012740290296749703}",1735914298.096159,414165.7689163406,"-44.50403498910227, -64.08320523110172"
128,"{'x': 0.018476852248377907, 'y': 0.0338527547463927, 'z': 0.01350003261756606}",1735914299.0994601,414162.8389961333,"-44.53621174992272, -64.00880993950312"
129,"{'x': 0.01943455397190682, 'y': 0.03301476528137395, 'z': 0.014098596194771638}",1735914300.099942,414159.9267438747,"-44.568163564726675, -63.93472462030078"
130,"{'x': 0.018343249001277376, 'y': 0.03403025341113406, 'z': 0.014238496903266942}",1735914301.1043048,414157.0047739796,"-44.600198803026366, -63.86023427910294"
131,"{'x': 0.018989286655371675, 'y': 0.0342230016351133, 'z': 0.013409855649057003}",1735914302.1067982,414154.09414599184,"-44.63210003170142, -63.78584361502292"
132,"{'x': 0.018785188284136507, 'y': 0.03318540457059059, 'z': 0.01244540497619926}",1735914303.106,414151.1906371119,"-44.66386757110895, -63.7115531517597"
133,"{'x': 0.01866990222141885, 'y': 0.03324304760194941, 'z': 0.012503048227576394}",1735914304.107092,414148.287144422,"-44.69562703492832, -63.63706914963345"
134,"{'x': 0.01855439228600665, 'y': 0.0333008025696555, 'z': 0.012560803415728053}",1735914305.110239,414145.3825086188,"-44.72738525168196, -63.56237427585529"
135,"{'x': 0.018439179923069707, 'y': 0.03335840875112396, 'z': 0.012618409817074176}",1735914306.108895,414142.49039823277,"-44.75896601814929, -63.48788334665529"
136,"{'x': 0.018323897677143975, 'y': 0.03341604987408681, 'z': 0.012676051160048066}",1735914307.112898,414139.58932096214,"-44.790645127029904, -63.412945210503345"
137,"{'x': 0.018741453339807895, 'y': 0.032922545761071245, 'z': 0.013878908877666197}",1735914308.1218188,414136.67583507067,"-44.82242282824264, -63.337555811711354"
138,"{'x': 0.01809846393834142, 'y': 0.03201174427372887, 'z': 0.012979743891924493}",1735914309.1248379,414133.7841591475,"-44.85395331148625, -63.26253562222647"
139,"{'x': 0.01880268154713963, 'y': 0.033624665803118924, 'z': 0.014072017336431479}",1735914310.1222131,414130.9082591811,"-44.88527061795097, -63.187806945782526"
140,"{'x': 0.018481066977617568, 'y': 0.0335814642878187, 'z': 0.01397093263632468}",1735914311.126821,414128.01608499786,"-44.91675085865919, -63.11247137130022"
141,"{'x': 0.01819251693636315, 'y': 0.03308670547208258, 'z': 0.014308895999184775}",1735914312.1335309,414125.1218770021,"-44.94823932540108, -63.03689586902184"
142,"{'x': 0.01803129789787223, 'y': 0.03301309964793238, 'z': 0.012077497930514347}",1735914313.131789,414122.2499446903,"-44.979448792536296, -62.96177116441576"
143,"{'x': 0.018406091459599407, 'y': 0.03283390914424568, 'z': 0.013975181366201718}",1735914314.138259,414119.3653675145,"-45.01079833188254, -62.8860884700606"
144,"{'x': 0.01847227271947666, 'y': 0.03325572628226464, 'z': 0.012702408958141303}",1735914315.142085,414116.48964341136,"-45.04203075501663, -62.8104669335488"
145,"{'x': 0.0180559996515512, 'y': 0.034455931645683766, 'z': 0.014258807262478001}",1735914316.147603,414113.61323310656,"-45.07324799885322, -62.734659630597825"
146,"{'x': 0.017499439482232534, 'y': 0.0334279984235763, 'z': 0.014280479682712755}",1735914317.1515431,414110.7423441494,"-45.10439672015559, -62.658795468419484"
147,"{'x': 0.01922032443071864, 'y': 0.03300277506856939, 'z': 0.012917799640729243}",1735914318.156845,414107.8700954644,"-45.13550481831701, -62.58280613410453"
148,"{'x': 0.01861040722012144, 'y': 0.032873592717651196, 'z': 0.013220776246639084}",1735914319.1571069,414105.0142714426,"-45.16643050862148, -62.50703884417862"
149,"{'x': 0.019431479077623128, 'y': 0.033095479151805926, 'z': 0.012355479214177347}",1735914320.15772,414102.1667488433,"-45.19726838794632, -62.431263228063656"
150,"{'x': 0.018218513777957426, 'y': 0.033021940981920135, 'z': 0.012443770954170921}",1735914321.159449,414099.3172249655,"-45.228098283619765, -62.35528262832022"
151,"{'x': 0.01849700369363013, 'y': 0.03329666284616815, 'z': 0.012415674290198938}",1735914322.165695,414096.4589913512,"-45.259013128158486, -62.27886560189266"
152,"{'x': 0.01909917156867588, 'y': 0.03310089628698074, 'z': 0.013430620089378857}",1735914323.170281,414093.6116139948,"-45.289821011290584, -62.202485186037336"
153,"{'x': 0.01945773781792539, 'y': 0.0331839993596077, 'z': 0.012993251971062342}",1735914324.169738,414090.7765750454,"-45.320420890629826, -62.12639379831324"
154,"{'x': 0.019137649723304295, 'y': 0.0331839993596077, 'z': 0.013057269638856308}",1735914325.1711402,414087.94328011497,"-45.35102048369975, -62.05007564602854"
155,"{'x': 0.018816957214372584, 'y': 0.0331839993596077, 'z': 0.013121408189604673}",1735914326.174758,414085.1083876099,"-45.381616553178375, -61.973537249212974"
156,"{'x': 0.02000267460116813, 'y': 0.03283611424967339, 'z': 0.012708776916754662}",1735914327.171227,414082.2931704466,"-45.4119739581403, -61.89736795111523"
